,Comment,Date
298,I want to express my deep disappointment in hearing the news that this project exists. My family and friends use this space on a weekly basis for recreation. Our parks are a valuable asset tothe area and bring in so much positive activity.My wish is for Lake Crabtree area to remain undeveloped and available for recreational use as it is today.Thank you.,7/22/2016
299,I relocate to Raleigh due to their balance of good professional opportunities and mountainbiking trails. I'm engineer and are very happy with the triangle trails and business development's. If theRDU trails disappear this means no more life balance for me. Please don't allow to close these trails. Tnx,7/22/2016
300,"Please please do not pave our park, or develop it, or turn it into and industrial zone.",7/22/2016
301,"I am a mountain biker and moved to Wilkes County NC 2 years ago to be closer to the trails I love. If my trails were to close here I would move. I have friends that are TORC members. I enjoythe Raleigh trails. They promote community, a healthy lifestyle, and support local business. All across the nation, trails and green ways are being created because that is what the public wants.You were ahead of the curve. That should be promoted and celebrated not destroyed. I implore you to find another way. Do not shut down Raleigh bike trails.",7/22/2016
302,"Are you guys trying to destroy the last remaining chunk of green space in favor of more buildings?? Seriously, the greed has got to stop.",7/22/2016
303,"We need more parks, not more concrete. Please preserve LCCP.",7/22/2016
304,"As the Triangle area continues to grow, maintaining natural green spaces like the parks at LCCP and Umstead becomes more important for maintaining our areas quality of life. Once lost anddeveloped, these natural spaces can never be regained. As a lifelong resident, I urge you to please reconsider developing these recreation areas. You have the opportunity to help maintain thequality of life that the Triangle is famous for. Do it for the multitude of residents who already enjoy this beautiful space as well as those who become residents in the future. Thanks.",7/22/2016
305,"I would strongly encourage the authority to protect the existing green-space around the airport, and adjacent to Umstead State Park. The recreation and health lifestyle options provided bythose areas, such as Lake Crabtree County Park, is a vital asset to the growing population of the Raleigh Metro Area. Any loss of wooded, protected areas would be a detrimental impact to thepeople and the environment of greater Raleigh.",7/22/2016
306,"Hello, I'm writing you today to voice my concern and disapproval over the proposed renovation of crabtree country park and the adjacent lands. As you well know, these parks contain some ofthe best green space and recreational opportunities in the triangle and, as an avid mountain biker, they are a destination for cyclists throughout the surrounding states. Please elect to retain thewonderful trails and parkland which offer so much joy to so many communities in the triangle and beyond. This is all we have, there's nothing nearly as good for us within an hour's drive. Pleasedon't take it away.",7/22/2016
307,It is sad to see how the best mountain bike trails are going to disappear if the RDU don't stop. Those trail keeps our people healthy and more...I'm very disappointed,7/22/2016
308,"Please consider not disrupting this land that is in use by many residents & visitors providing a venue for healthy activities to promote the good health of residents that live a healthy lifestyle.Even though it is a little bit of a drive for me to ride these trails, it provides a safer alternative than riding on the road. This is coming from a cyclist that was hit by a drunk driver the morning of7/4/2010, myself, that safety factor is extremely valuable to the cycling community and health conscious residents. Thank for taking my comment.",7/22/2016
309,"You absolutely can NOT build on Lake crabtree, 286 or Umstead at all!! This is such a great area for everyone in the triangle to come together to exercise and enjoy the outdoors!! I 100%object to any deforestation on any of this land!! Please respect the wishes of the community! Thank you in advance.",7/22/2016
310,"I drive out to Crabtree multiple times a week to mountain bike. It's by far my favorite place to bike, because of its proximity to work, the climbing gym (which I often go to either/both after orbefore my ride), and the quality of the trails. It's the only trail that I truly feel comfortable solo as a beginner-novice. Eliminating the park would take away money from businesses (I frequent thenearby restaurants like Neomonde before going home or to climb -- whenever I don't go via Crabtree park those restaurants are never convenient) and take away vital green space thatcontribute to the mental and physical well-being of the population of the whole triangle. I live in Durham/Chapel Hill and work in Durham, yet I drive to Morrisville specifically for Crabtree Park.Without Crabtree, I am more likely to visit the North Raleigh climbing gym as it's more convenient.",7/22/2016
311,"Please reconsider saving ALL of Lake Crabtree County Park from development, as well as the land adjacent to Umstead that is currently undeveloped.",7/22/2016
312,"I object to the loss of Greenspace, and blatant disregard for the quality of life of the local residents. Greedy corporations want to pave paradise and put up a parking lot.",7/22/2016
313,I absolutely love the green spade near the airport. My family and I have enjoyed it since my father moved to North Carolina in the 1950s. And it is my source of pride when people come frommega-cities like LA - I get to show off our trees immediately and they can appreciate the beauty of NC.,7/22/2016
314,"Save the green space, not a parking place!",7/22/2016
315,Don't destroy Crabtree park or the surrounding area. Leave it as green space to improve the quality of life for the residents of the triangle area.,7/22/2016
316,"Leave Lake Crabtree Park and the surrounding area the way it is, we need more places to play outside, not more office buildings.",7/22/2016
317,I object development on the lake crabtree area. I've been using this park for years and can't imagine RTP without it!,7/22/2016
318,Please do not remove trails from the area.,7/22/2016
319,"The RDUAA needs to rethink the plans to ""develop"" much of Lake Crabtree County Park as well as the currently undeveloped land adjacent to Umstead. We need to preserve the green spacewe have!",7/22/2016
320,RDU Airport Authority is not considering the best interest of the surrounding community. Their plan to eradicate the green spaces and mountain bike trails at Lake Crabtree and the area aroundOld Reedy Creek road will hurt the local community who regularly use this land. Turning these beautiful lands into more office parks and parking lots will make Raleigh a worse place to live.,7/22/2016
321,"The RDUAA needs to rethink the plans to ""develop"" much of Lake Crabtree County Park as well as the currently undeveloped land adjacent to Umstead. We need to preserve the green spacewe have!",7/22/2016
322,RDU Airport Authority is not considering the best interest of the surrounding community. Their plan to eradicate the green spaces and mountain bike trails at Lake Crabtree and the area aroundOld Reedy Creek road will hurt the local community who regularly use this land. Turning these beautiful lands into more office parks and parking lots will make Raleigh a worse place to live.,7/22/2016
323,"There are far too many logical reasons to keep Crabtree Park alive and available as the wonderful natural resource it is for healthy activities for everyone. I, along with so many others, hope youwill reconsider plans to destroy this beautiful park and see its true value to not only the local communities, but the many farther communities this park reaches and affects in positive ways aswell.",7/23/2016
324,"Please keep Lake Crabtree and surrounding area green! We need more green spaces not more faceless business parks, so many business parks around Raleigh sit nearly empty (for years!)or are run down and add no value to this area. I actually don't mind taking people to the airport (or myself) because, unlike other airports I have traveled in and out, of it isn't massivelycongested and confusing with various airport, city and surrounding business traffic. I've had so many friends, family and strangers comment on how lovely the surrounding area of the airport itand how nice that the city has kept a green space as a buffer around it. There is value in having these spaces, just as much value as putting businesses there. It adds character to our area andit also shows us as a progressive, forward thinking city to realize when development is and when it is not. We are such a fast growing area and that is why these spaces are so important tohave and preserve for us and future generations to enjoy as much as a we do. Don't ruin an absolutely lovely area by destroying habitat for plants and animals (that are already getting sparserby the day) and ruining an area that so many people enjoy.",7/23/2016
325,"I have heard something about a possibility that the Lake Crabtree park mountain bike trails could be clised!? NO!!! I am new to mountain biking. I am a 56 years old man and found only recentlythis excellent wholesome fitness activity only recently. It is a wonder way to bring people together and to get it nature and get physically fit. Hoewever, it requires a place to rudr, which can behard to find. The Lake Crabtree park mountain bike trails are a true gem. I would be extremely disappointed if they closed. That would be a detriment to Raleigh and the Truangle. I dot this thatis the direction we want to go in.PLEASE PRESERVE AND PROTECT THE GEM THAT IS THE MOUNTAIN BIKE TRAILS AT LAKE CRABTREE PARK !",7/23/2016
326,"I totally object to development of Lake Crabtree County Park. It is such a highly used park, and must remain as a jewel to bikers/hikers/boaters of Wake county.",7/23/2016
327,"I enjoy the trails at Lake Crabtree, and I would enjoy continuing to be able to use the mountain bike trails at that facility. I enjoy the exercise, the convenience and the natural surroundings whilebiking out there. I hope this trail system is always available for everyone to use in the future!",7/23/2016
328,I am a 16 year old kid who has been mountain biking for a few years now and the Crabtree trails are te only trails near my house the I can ride. The next closest trails are more than thirtyminutes away. These trails get outside and active and removing the would devastate the beauty the Crabtree lake park and mountain bikers make up a majority of the people who go toCrabtree county park,7/23/2016
329,ALL the greenspace at LCCP and it's surroundings is vital to the area's economy and quality of life. Please do not destroy this resource.,7/23/2016
330,"My family and I live in Weston Manor near the umstead and lake crabtree parks. The habitat is beautiful and loved by many of the local residents for biking, hiking, and enjoying nature. Pleasereconsider destroying the little bit of natural beauty left in out area.",7/23/2016
331,"Please do not destroy Lake Crabtree park! It is an assest to the Cary and Morrisville communities. It is a phenomenal park that is used for hiking, biking, sailing, kayaking, paddle boarding,picnics, volleyball, etc. it is a great park to encourage residents to get out and exercise. Please preserve Lake Crabtree!!",7/23/2016
332,I am against the Rdu authority allowing any commercial development on what is nowParkland. commerical gain is incongruous with the authority's role as local governmental unit.,7/23/2016
333,"I object to giving up Lake Crabtree Park to a business area. I use the walking trails daily, as well as occasional use of picnic areas. Please keep this park open to recreational use.Thank you.",7/23/2016
334,Destroying all of the local mountain bike trails would be a disaster for the traingle community. Please make a compromise to this idea and allow crabtree park to remain untouched from itscurrent form building up only the areas of 286 and Rocky Road.,7/23/2016
335,I do not support taking away the Crabtree hiking/ biking and other green space to build a business park,7/23/2016
336,"I am a community member, and user of the parks and recreational spaces in Lake Crabtree County Park and Umstead Park. I would ask that you keep these as recreational and green spaces.Keep them as they are or improve them as better versions of themselves. This is an opportunity for you to be a unique airport and one that works with these spaces rather than eliminatingthem. Please continue to be a positive solution to our area instead of adding yet another strip mall, gas station and drug store. Please have a bigger vision for this area.",7/23/2016
337,Please keep the Crabtree ParkArea as-is. The mountain biking/hiking trails are extensively used by myself and many people in my neighborhood.,7/23/2016
338,"I am one of the more than 300,000 people who yearly use the Crabtree Park including the mountain bike trails. This is a precious resource for the area, greatly adding to the overall quality oflife. I encourage you to consider alternative plans that allow for the continued existence of the park.",7/23/2016
339,"Hello,Please keep Lake Crabtree park (and Umsted in case that is being looked at as an alternative) open. By all means build a hotel, just use some existing empty office space or decrepit old stripmall etc. This area is desirable because of the planners who kept Umsted and opened up as many parks as possible.https://www.raleighnc.gov/government/content/PubAffairs/Articles/AccoladesRaleigh.htmlThanks!",7/23/2016
340,"Please do not even consider destroying Lake Crabtree in any way. The things that made Cary, Raleigh, and the RTP area so desirable are slowly being removed. The parks and recreationareas are what keep this area from feeling like every other big town/city. There has to be a limit to the change.",7/23/2016
341,"It's unacceptable to consider developing RDU triangle greenspace land for airport goals alone. Any view of developing this land without considering the socio-economic impact to the triangle isinsufficient. The greenspace land is too valuable to the triangle to be harvested for airport needs alone. These lands need to be returned to the municipalities of Durham, Morrisville, andRaleigh for proper land management. We don't need an expansive airport to the detriment of the surrounding triangle culture.The development of lake Crabtree park and surrounding lands is equivalent to raping the triangle and is short sighted at best.",7/23/2016
342,"Please preserve the hiking and biking trails at lake Crabtree. People need balance in their lives and the trails in this park help them to keep this balance. Think community. You guys have donean incredible job with RDU. I live close by and drive through the area all the time. We need the wooded areas as much as we need business. I love going there to chill. We have so much stressin our lives, the wooded areas really help us to let go of it. Thank you for your service to the people of this area.",7/24/2016
343,Keeping the natural areas like Crabtree is very important to our community. I strongly oppose any proposed development in an already crowded corridor.,7/24/2016
344,"Our area is growing and that is a good thing for many. If we consider what brings people to the area, it the recreational opportunities. These choices of trials, cycling, hiking and mountain bikeall contribute to well being of a community.I hope that we can keep all of the trials at Lake Crabtree. This area is one great recreational area that the community supports.Thank you for reading",7/24/2016
345,I have enjoyed traveling to Raleigh to ride the mountain bike trails at Lake Crabtree for many years and I would hate to see those trails go away. The entire Lake Crabtree facility it a wonderfulplace for all North Carolinians to visit and enjoy. I would certainly vote to maintain the park.,7/24/2016
346,"Please do not destroy Lake Crabtree, the forests around it house some amazing hiking/biking trails that I've been able to enjoy when visiting Lake Crabtree. The park is a wonderful get away,nature in the midst of city, and a great spot for a family gathering. I've met up with my family from all over NC at this location many times and would be devastated to have it destroyed. I feel thispark is much more rewarding and better for building community than a business park.",7/24/2016
347,"I would like to strongly object to any commercial or non-recreational use of land that is part of Lake Crabtree Pakr or Umstead State Park. These kinds of green spaces are vital to the quality oflife in the area. Over the last 17 years I have lived in the Weston Pointe subdivision is have seen a lot of green areas disappear. I use Umstead Park weekly and use the Crabtree Park monthly.Losing any part of these parks will have a big impact on my life. I work for SAS and happily use these kinds of resources when recruiting prospective employees. A business park or parking lotwill certainly not be incentives for people to more to the area.Please maintain the parks. Have the vision to keep our quality of life and not turn woods, used for recreation, into parking lots.Regards",7/24/2016
348,"There is absolutely no benefit of taking any of the Lake Crabtree State park land area and converting it to land use proposal for Crabtree/286/RR. A business park to take the place of a forestednatural green space is not a way to support the community! We have enough hotels, restaurants, commercial business space, ect. I have been a resident of Cary for 20yrs and as a Realtor Iknow the value of green space and parks. This is a natural resource that needs to be protected and cherished not paved over in the name of progress.One upset citizen!",7/24/2016
349,"The plans to take over Lake Crabtree County Park and Umstead, please DO NOT! A big part of the charm of NC and a reason to live here and fly in and out of RDU is because of the beautifulgreenways and parks. Please find somewhere else to put your upgrades.",7/24/2016
350,"Please do not develop the Crabtree County Park or the other mountain bike trails in the area. The mountain biking community is hearing that there are plans to develop these areas withbusiness parks. This is one of the only areas in Wake County used for mountain biking. The county needs more green space, not more business parks. Please let the County continue to usethese areas to provide a park for outdoor recreation. Thanks.",7/25/2016
351,"I have a hard time understanding how destroying Crabtree Park which is a huge asset to the entire community helps meet aviation goals especially since the intentions for the space are a hoteland offices. Our parks in the RTP area are a huge asset and part of what draws families to the area. If these are destroyed in order to accommodate more development, our communitybecomes just like any other and we loose a huge perk to living in the RTP community.",7/25/2016
352,Please don't develop Lake Crabtree County Park! It is an invaluable asset to the community. There is plenty of space elsewhere for office and hotel development.,7/25/2016
353,"Leave Lake Crabtree Park as it is now!Have the fortitude to want to preserve that which serves the community the greatestIt doesn't take ""vision"" to want to turn a natural preserve into a commercial zone......DO THE RIGHT THING",7/25/2016
354,"Hello, I moved to Cary just over a year ago to pursue my studies at NCSU. One of the unique qualities about Raleigh that brought me to the area was integration between a city and naturallandscaping. There are times when driving through the city that you can almost forgot the city surrounding you underneath the canopy of trees amidst the fields of wildflowers. There arenumerous parks within the city that afford its residents the opportunity to escape and one of these parks that is near and dear to my heart is Lake Crabtree.Lake Crabtree offers a unique combination of canoeing, fishing, hiking, and mountain biking to its visitors. For me personally, the mountain bike trails are the biggest draw. Since I startedmountain biking (2013) I have never seen a trail so well preserved and maintained by group as the ones maintained at Crabtree by the Triangle Off-Road Cyclists (TORC) group. TORC'sdedication to their trail system really serves a pivotal role in making Crabtree a wonderful for the everyday person to escape the city for an afternoon. It would be a shame for the city of Raleighto lose such a valuable piece to its culture and community.The cost of a growing and expanding city is that things must change, land developed, and open spaces lost. However, I think it would be a true tragedy to sacrifice Lake Crabtree for the growthof this expansion. After reviewing the development plans, it appears that Crabtree has been selected for the development of a hotel and this would come at the loss of its mountain bike trails. Itruly hope that an alternative location can be selected for the development of a hotel and that Crabtree can be spared so that future generations may continue to enjoy the beauty it has to offer.",7/25/2016
355,"Folks,This letter is in opposition to Vision 2040, and in support of protecting 286, Rocky Road, and Crabtree Park.As a local business owner, I understand the desire to add more business parks, expand existing operations, and utilize land available. That said, I am also a mountain biker -- and we haveceded enough of our land to demolition in the past few years. There are no good parks left in the area for riding other than 286, Rocky Road, and Crabtree -- with 286 coming first-and-foremost.They're all important, though, and they're clustered tightly in a way that attracts riders from neighboring cities and counties.It is time to make these trails legal and to protect them. Crabtree -- already legal, of course -- is important for its ability to draw-in new riders and get them outdoors, enjoying Wake County; 286offers the best multi-purpose trail system for miles, and is far superior even to Beaver Dam (a paid trail); Rocky Road offers some of the best tech for a bit of variety, and has immediate accessto the creek system for a beautiful view.Protect these trails. There is nothing left in Cary to ride. Seriously. Try to find something good. 286 appeals to riders of all skill levels, something which no other trail can claim around here.Crabtree appeals to newcomers and folks who just need an easier ride, or something to do with their SO.STOP Vision 2040.",7/25/2016
356,"PLEASE do not allow development in Lake Crabtree county park! The trails and greenways there are of much more benefit than another business park would be! Think of all the loss of kidsexposure to nature, all the wildlife that would be pushed out, etc. We have business areas already nearby that sit empty. Don't take away one of the nicest community areas that we have!Thanks in advance",7/25/2016
357,"Stop RDU Vision 2040 and protect the Lake Crabtree trail system, 286, and Rocky Road. Nobody wants another vacant business park or a rental car facility, we have PLENTY of these already.",7/25/2016
358,"I'd like to offer my opinion to NOT develop the land on which Lake Crabtree County Park and the surrounding areas. These areas provide key access to the outdoors for the RDU/ Triangle area.I personally spent most weekends of my youth exploring these woods on bike and on foot and was hoping to share the experience with my 2 young children one day.The area does not really need another mall or office park, especially when the down town areas of both Raleigh and Durham are becoming such business and technology hubs.",7/25/2016
359,"I object to land use proposal for Crabtree park, Rocky Road and 286. Please build the businesses some place else. Keep the land as the park.Thanks",7/25/2016
360,"As a member of OSAPAC I would like to make sure that our Committee and the Staff of Wake County Parks and Recreation are at the least be an integral part of the process especially as itpertains to the 148 acres that adjoin the Lake Crabtree Park. Several things come to mind? 1) Lake Crabtree park is the largest user within the Wake County system with some 300,000 visitorsannually. Of the number about 100,000 are mountain bike users of the 13 miles of trails that are currently on the 148 acres in question. The sport of mountain biking is one of the fastestgrowing outdoor sports and will be for some time. 2) Is the consultant you've hired familiar with the Urban Recreation Center and Ride Center concepts? 3) With the aid of MetLife we have justbuilt the 1st 4 Bay Low profile Universal Accessible Canoe and Kayak Ramp in the country to support the disabled citizens of Wake County. This facility will also be used as part of the Dept. ofVeteran Affairs Valor Games Southeast. We will again in May of 2017 host 115 wounded and disable Active Duty and Veterans.",7/25/2016
361,"I firmly object to the intention of destroying forest and trail areas to make way for more unnecessary development. The area surrounding RDU Airport is unmatched for it's beauty, naturalresources, and recreational facilities. So many people use the area on a daily basis and it's disheartening to learn that this situation is even a possibility.Developing this land as planned will be highly damaging and irreversible to both the natural and human environment. I sincerely hope that the decision makers involved take a deeper look andlisten to those who actually use the land now and will be long after the economy inevitably changes leaving empty office buildings and office parks.",7/25/2016
362,STOP RDU 2040 PLAN! Preserve the land for community recreational use! We need this to attract young people to live and work here.,7/25/2016
363,"Comments to RDU 2040 Master Plan, June 28 AlternativesOnly Alternative A meets the stated goals. Alternative B needlessly abandons the runway 5L-23R and thus requires two new runways. Alternatives C and D are also critically flawed and shouldnot be advanced for further consideration. Consider the following specific comments1. New runway: Under no circumstances should a new runway be built closer to Umstead State Park as shown in Alternative D. RDU should be a better neighbor to this irreplaceable resource.The new runway needs to be located to the west of 5L-23R.2. A quarry on publicly owned land as shown on the June 28 planning maps is unacceptable. Is RDU so desperate for income that it will cannibalize a precious, publicly owned naturalresource? A quarry has to be the lowest and worst possible use of this exceptional tract of riparian forest. There have to be other uses that would benefit the community that RDU serves andalso provide RDU some income. Would this parcel not in the long term be better suited for park and recreational uses? Perhaps there is a way to swap this parcel for another from the parkmore suitable to airport needs. The boundary between RDU and Umstead could be realigned to better serve both park and airport. The master plan should make such cooperation a strongrecommendation.3. That RDU even considered mining the parcel between Umstead State Park and Lake Crabtree Park shows a gross insensitivity to the values Umstead provides to the same region that RDUserves. Perhaps current RDU management does not remember that Wake Stone Quarry bordering Umstead was justified on the grounds that cheap rock was needed to build the RDU 5L-23Rrunway back in the early 1980’s over strong objections of park supporters. This June 28 plan unnecessarily opens old wounds. Did RDU even consider its impacts to the park as part of themaster planning process? RDU and Umstead should have a formal agreement recognizing the values each brings to the region and at a minimum commit to limit impacts to each other. Themaster plan should make such agreement a strong recommendation.4. Finally, introducing the quarry at the last stage of the master planning process undermines the integrity of the entire master planning process. It is as if RDU did not want the public to be ableto mount opposition to the quarry.",7/25/2016
364,The loss of Crabtree and nearby areas would be bad for local business and the many different outdoor retailers. This is a local resource invaluable to all that regularly use these areas.,7/25/2016
365,"Stop RDU Vision 2040 and protect the Lake Crabtree trail system, 286, and Rocky Road.",7/25/2016
366,"We are against any reduction of Crabtree lake and bike path,these natural areas are wildly used by the community. We hope that RRU airport appreciate the support and goodwill of itssurrounding community that it can keep the park as it is.Thank you for your concern",7/25/2016
367,"Stop RDU Vision 2040 and protect the Lake Crabtree trail system, 286, and Rocky Road.",7/25/2016
368,"We are against any reduction of Crabtree lake and bike path,these natural areas are wildly used by the community. We hope that RRU airport appreciate the support and goodwill of itssurrounding community that it can keep the park as it is.Thank you for your concern",7/25/2016
369,"My family and I want to voice our objection to any decrease in Crabtree Lake Park land and it's trails and surrounding forested area. As your neighbor, we want to let you know that we arethankful to the RDU Airport Authority and consider them a moral partner in making our community a viable and healthy area. We ask that as such, the Airport Authority look to INCREASE greenspace for community citizens by enlarging Crabtree Lake Park and allowing continued access to trails and land. The public relations and marketing aspect of such an action are valuable to RDUAirport. We look forward to many years of continued mutual respect.",7/25/2016
370,"First, I appreciate and recognize the economic value of continued development of RDU airport. It is a critical link between the triangle and the rest of the world and continued modernization ofRDU is so important in representing what our region is all about; a nice place to visit, a great place to live and work. The redevelopment of terminal two has been a shining example...it is truly abeautiful facility and makes my home airport a pleasure to fly out of. And I'm excited by the continued work on terminal 1 as well. Keep up the good work!Part of what makes the triangle a great place to live and work has been our commitment to green space. Unfortunately, as the area has grown our commitment to green space and recreationareas is wavering, which in turn is lowering property values and reducing our quality of life.Lake Crabtree park, and those portions of the airport authority land that directly adjoin with Umstead State Park (those parcels west of the quary and east of the Aviation Parkway exit to I-40),are prime examples of green space/recreation areas that need to be protected. While the airport authority has a responsibility to develop RDU airport to keep pace with the growth of ourcommunity, it also has a responsibility (as do we all) to help ensure that this growth is manged to ensure that we don't lose sight of the fact that our area is so popular because of ourcommitment to our citizens and the quality of their lives.I beg of you, keep those parcels of land green. Donate those small parcels north of I-40 to the State so that it can become part of Umstead State Park; it's a natural fit to the current land use ofthe area. Donate Lake Crabtree park to the county with the caveat that it remain a park for visitors to and citizens of our area to enjoy. It's these investments in the quality of life of our area thatmade me move my family here to the triangle over 20 years ago. The area can't continue to grow without such investments and the airport authority has the opportunity to make a difference.Thanks for the opportunity to share my views.Kind regards",7/26/2016
371,"As a resident in Cary, living not far from Lake Crabtree, I am deeply concerned about green space being used for more hotels or office parks. Part of the draw of living here and also what keepsour home values up, is that we have this wonderful space that thousands of people use and enjoy each day. There are empty shopping malls and lots where certainly those hotels or officeparks could be constructed, without the teardown of space that is so enormously valued by so many residents.RDU is a wonderful airport and I realize that business is business. But community matters as well. People matter as well and quality of life for all of us in this community matters. Cary is slowlybecoming one big strip mall, over crowded, too much traffic and I fear that soon all that drew us to it, will eventually move us out of here. I use RDU almost weekly for work, so am hoping thatCary won't be so overbuilt that we are forced to leave the area.Thank you for your thoughtful consideration of my thoughts as well as the thoughts of many of my concerned neighbors.Sincerely",7/26/2016
372,"As a long time NC resident, it's very disheartening to hear about the proposed plan to sell off land adjacent to Lake Crabtree for use as a business park. While I understand growth is importantand necessary for the health of a city, I feel (along with many others) that the opportunities and beauty provided by the forested areas being considered for destruction are far more valuablethan any business park that could utilize the land. We have so many other options for business park locations. Please continue to preserve this land for recreational outdoor use by the citizensof the area, as well as for the native wildlife that call it home. I enjoy mountain biking in the Umstead/Lake Crabtree area, as do so many others. To have this wonderful natural place in themiddle of a city is so unique and beneficial to us all. We need areas like this for people to reconnect with nature, and to enjoy the simple things. Please don't take that away from us, and fromthe future generations that will call Cary home.",7/26/2016
373,"The proposal to develop Crabtree Park/286/RR is totally unacceptable. The Crabtree park area that is part of RDU Authority land should be preserved for community recreation and left asgreen space and natural areas. What makes Raleigh Durham a good place to be is the trees, and large community parks, including the adjacent Crabtree/Umstead Recreation areas shouldcontinue to be the first thing that visitors to our community see when they fly into the airport.",7/26/2016
374,"I am a resident of Cary, NC who lives close to Umstead State Park and Lake Crabtree. My family uses the trails often and to see this area turned into a business park would be detrimental tothe health of our community. We rely on green space for recreation and peace. The view at Lake Crabtree is already marred by the tall business buildings that have been built beside it. Pleasedo not build any more buildings in the vicinity of Umstead and Lake Crabtree.",7/27/2016
375,When is the next workshop / public meeting scheduled?Thank you.,7/27/2016
376,"Stop RDU Vision 2040 and protect the Lake Crabtree trail system, 286, and Rocky Road.These are the only parks in Cary that are halfway decent for hiking and riding alike, and the only ones that simultaneously offer a challenge and easy learning for mountain bikers.",7/27/2016
377,I STRONGLY oppose the current master plan involving planned future development in the current area of Lake Crabtree Park. The for profit destruction of park land that provides outdoorrecreation for thousands of local residents is not acceptable. I am an avid mountain biker as is the rest of my family. We are strong as a community and will make a stand against this proposedmaster plan until any and all proposed changes to Lake Crabtree Park are removed.,7/27/2016
378,"Please do not destroy this peaceful park. It is a great place to come bike, kayak or hike. I use it 2-3 times a week. Getting rid of it means a 30 minute or more ride to another park.",7/27/2016
379,My family and I are completely against any development of the land next to Lake Crabtree and Umstead Park. Families like mine use and respect the trails next to the Lake and I think it wouldbe a disgrace to develop these spaces.,7/27/2016
380,"I live in Hillsborough NC but frequently go to Lake Crabtree park for hiking with my family and mountain biking with my friends. While we are there, we tend to eat lunch or dinner as well asdoing some shopping. Destruction of this Lake Crabtree or Umstead Park would take away our main reason for heading east on Hwy 40. I sincerely hope the greenspace, forests, county andstate parks can remain. There are many examples of how natural spaces can be incorporated into citys and towns while still generating revenue for the land owner. Richmond VA, Danville VA'sDan River Park, Charlotte's Whitewater area just to name a few.Please consider other revenue sources besides developing the natural areas around the airport and changing one of the best parts of the Triangle.",7/27/2016
381,"I object to the conversion of Lake Crabtree County Park into a commercial development. The land is heavily used for recreation and has a positive impact on the community. Over the years, Ihave visited the park and hiked, biked and done some boating. I know many others that visit this park. Please consider the needs of the community when making plans for this land.Thank you",7/27/2016
382,These plans are completely oblivious to the large and wonderful community of bicyclists that frequent this area for the excellent and well maintained biking trails @ LCCP and ORC. I amappalled that finding a way to include these trails as a part of these plans was not considered as a part of the plan. These is one of the most visited parks in the county and quite a draw for thetriangle. I am an avid mountain biker and I absolutely treasure having these trails so close to the city. To ignore this is a great disservice to community. Please consider working with TORC andother advocates for these trails to find some way to include these trails in your plans. The last thing that we want is to drive a wedge in the community that has come to love this area and trailsso much.,7/27/2016
383,"I use Crabtree Park and Umstead 5 to 6 days a week, and find this forested area extremely valuable to providing a balanced lifestyle for the Raleigh-Durham residents. This is where, likehundreds of other parents, I taught my daughter how to mountain bike. We NEED this space.Please figure out better alternatives for revenue.PLEASE do not destroy these forested areas!!!!!!!",7/27/2016
384,"I understand that there are economic imperatives. However, in this case the common good, both for this generation and all generations to come, so clearly outweighs economic considerations.This area is the oasis in the heart of the triangle. Implementing development would strip tens of thousands of people their primary green haven. Thanks",7/27/2016
385,Lake Crab Tree is an awesome park. destruction of the park would be a travesty.,7/27/2016
386,"As an avid hiker and biker, I strongly urge RDU to reconsider its development plans for Lake Crabtree park and the trails/greenspace adjacent to the Umstead gate on the north side of I-40.What makes Raleigh (and the Triangle) great is the ease with which residents can access park land and trails in less than 30 minutes by bike from downtown, please, please, please don't ruinthis by developing this beautiful, heavily used land.Thanks",7/27/2016
387,"Don't allow rdu to destroy lake crabtree. Greed always wins short term, but NEVER ends up a long term success, never. Think beyond your nose please.",7/27/2016
388,"It is with absolute disbelief to learn that RDU plans to destroy what is and has become an irreplaceable natural recreation area in the heart of the Triangle and all for the sole purpose of profit.My wife and I moved here, healthcare providers at Duke, because of the wonderful balance the Triangle area provided between work/ life and nature/urban living. We spend many days at LakeCrabtree and in Umstead running and riding bikes, and to think that at some point these beautiful and life sustaining forests will be bulldozed and never enjoyed by our children, all for yetanother strip mall and hotel. I would have hoped that the architects in such a proclaimed progressive area could do better. I hope that RDU will consider other opportunities that not only willbenefit their profits but also the community they are a part of.Sincerely",7/27/2016
389,"As a longtime Triangle resident I've witnessed the explosion of growth in the use of bike trails at Crabtree County Park, Umstead Park, and the adjacent forested Airport Authority properties thatare nearly indistinguishable from Umstead Park lands. I believe my first times riding the Lake Crabtree trail network were back in the mid-90s ! If you go to the Old Reedy Creek bridge andparking area on a fine spring or fall day, literally hundreds of cyclists, joggers and family pleasure riders are using these green spaces. Visitors and newcomers frequently comment about whata fine amenity these forested places provide for all of the surrounding communities. Further evidence of the pride and enthusiasm these networks of trails engender, is the cleanliness andalmost total lack of rude or disrespectful behavior I witness in the groups who use them. There are plenty of places to build another office park or hotel in the area. In fact, these kinds of useswill benefit from the greater density offered in so many other locations.Preserve the trail network created by the Crabtree Creek and Black Oak Greenways, the Umstead Park and County Park trails and the Airport Authority forest. Nothing can replace thesemature, natural forests that will serve our citizens better or make our community more appealing.",7/27/2016
